Ambassador;..;AR91-1012 x Innovator;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Yellow;Light yellow;-;-;-;First Early;Medium;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Ambo;Ambo is a very attractive early maturing versatile parti-coloured variety with good foliage and tuber late blight resistance.  High yielding in a wide range of soil types and presents good drought resistance.  Resistance to late blight on tubers.  Susceptible to potato cyst nematode <i> Globodera rostochiensis</i> Ro1 and potato cyst nematode <i> Globodera pallida </i> Pa3/2,1.  Susceptible to potato virus Yo.;Desiree x Cara;1;-;-;-;-;-;-;IRELAND;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Red parti-coloured;Cream;-;Medium;-;Early Maincrop;Medium - tall;White;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Amora;Amora will produce high yields of uniform, oval tubers with yellow skins and flesh.  An early bulking variety with good all-round disease resistance, well suited to the early processing market.  susceptible to Powdery scab, Blackleg, Bruising and potato cyst nematode <i> Globodera pallida </i> Pa2/3,1.  Resistant to potato cyst nematode <i> Globodera rostochiensis </i> Ro1 and Splitting.;Premiere x Anosta;1;-;-;-;-;-;-;NETHERLANDS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Yellow;-;-;-;-;Early Maincrop;Medium;White;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Amorosa;..;Arinda x Impala;1;-;-;-;-;-;-;UNITED KINGDOM;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Red;Medium yellow;-;Medium;-;-;-;White;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Andeana;;97.MT.106 B 182 x 99.H.32 A 3;1;-;-;-;-;-;-;UNITED KINGDOM;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Yellow;Medium yellow;-;-;-;Late Maincrop;Tall;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Angelique;Early salad variety.  Testing was conducted in one year only for common scab and mop top (spraing), the rating based on this is a 7 for common scab and a 6 for mop top (spraing).;Amandine x Lyra;1;-;-;-;-;-;-;FRANCE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Yellow;Light yellow;-;Smooth;-;First Early;-;White;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Anna;Anna produces a high yield of bright tubers suitable for pre-packing.  It shows very good storage capability.  Susceptible to Powdery scab, potato cyst nematode <i> Globodera pallida </i> Pa 2/3,1. common scab, potato cyst nematode <i> Globodera rostochiensis </i> Ro1, Bruising and Splitting.;OP 4051/2 x Cara;1;-;-;-;-;-;-;IRELAND;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Cream;Cream;-;Smooth;-;Early Maincrop;Medium - tall;White;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Annabelle;Tubers have some  resistance to splitting and good  resistance to bruising.Â Â Trials have found good resistance to skin spot, silver scurf, black dot and bruising. Â This variety has low resistance to late blight on tubers and on foliage. Â Tests for resistance to potato cyst nematode demonstrated resistance to  <i>Globodera rostochiensis</i> Ro1  and susceptibility to <i>Globodera pallida</i> Pa 2/3, 1 and Splitting.;Nicola x Monalisa;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;White;-;-;-;-;First Early;-;White;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Antarctica;Maincrop variety.  Testing was conducted in one year only for common scab and mop top (spraing), the rating based on this is a 6 for common scab and a 7 for mop top (spraing).;Navan x Pentland Ivory;1;-;-;-;-;-;-;IRELAND;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Cream;Cream;-;-;-;Maincrop;-;White;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Anya;Anya is a speciality variety with distinct nutty taste and waxy texture.  Very long oval tubers with parti-coloured skins and cream flesh.  Will produce high tuber numbers. Tests show susceptibility to late blight on foliage, powdery scab, potato cyst nematode <i> Globodera pallida</i> Pa3/2, 1, potato cyst nematode <i> Globodera rostchiensis </i> Ro1, Potato Virus Yo and Splitting.  Resistance to common scab.;Pink Fir Apple x Desiree;1;-;-;-;-;-;-;UNITED KINGDOM;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;White;White;-;Medium;-;Second Early;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Apache;Tubers have good  resistance to bruising and splitting.Â Â Trials have found good resistance to blackleg and dry rot (<i>Fusarium sulphureum</i>).Â Â This variety has low resistance to potato leafroll virus and late blight on tubers. Â Tests for resistance to potato cyst nematode demonstrated susceptibility to both <i>Globodera rostochiensis</i> Ro1  and <i>Globodera pallida</i> Pa 2/3, 1.;Stroma x S. phureja seedling;1;-;-;-;-;-;-;UNITED KINGDOM;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Red parti-coloured;Medium yellow;-;-;-;Early Maincrop;Medium - tall;Red violet;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Argos;Argos is a variety well adapted to production in hot climates, where it produces very high yields of long oval white tubers, usually out yielding the variety Spunta. ;143-27 (ex Solanum vernei) x Cara;1;-;-;-;-;-;-;UNITED KINGDOM;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Cream;Cream;-;Smooth;-;Early Maincrop;Medium;Blue violet;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Ariata KWS;Ariata is for the French fry market and can grow on most soil types, with high potential yields. Ariata has white flesh with a regular tuber shape. This variety has stable dry matter content and good resistant to bruising. Ariata has good resistance to G. Pallida.;null;null;-;-;-;-;-;-;null;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;null;null;-;null;-;null;null;null;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
;"Omega x Horizon""";;Stet Holland;-;-;-;-;-;-;;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Light yellow;Shallow;-;-;-;Medium;-;Few;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Arizona;Trials have found good resistance to potato mop top (spraing).Â Â This variety has low resistance to black dot, dry rot (<i>Fusarium sulphureum</i>) and late blight on foliage and tubers.Â Â Tests for resistance to potato cyst nematode demonstrated resistance to  <i>Globodera rostochiensis</i> Ro1  and susceptibility to <i>Globodera pallida</i> Pa 2/3, 1.;UK 150-19D22 x MASCOTTE;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Yellow;Light yellow;-;-;-;Early Maincrop;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Arran Banner;This second early variety was bred by Donald McKelvie and first marketed around 1927.  Arran Banner produces a moderate yield of round, white-skinned tubers with white flesh.  Tests show suseptibility to potato cyst nematode <i> Globodera rostochiensis </i> Ro1 and potato cyst nematode <i> Globodera pallida </i> Pa 2/3,1.  ;Suttons Abundance x Flourball;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Cream;Cream;-;Smooth;-;-;-;White;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Arran Comet;Long oval, white tubers with white to cream flesh. Short dormancy. High yields and early bulking. Susceptible to virus Y, spraing (TRV). Medium dry matter.;null;null;-;-;-;-;-;-;null;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;null;null;-;null;-;null;null;null;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Through tests has shown susceptibility to Dry rot <i> fusarium coeruleum </i>; late blight on both foliage and tubers; potato cyst nematode <i> Globodera rostochiensis </i>; potato cyst nematode <i> Globodera pallida </i> and potato virus Yo.;-;-;-;-;-;-;null;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;null;null;-;null;-;null;null;null;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
;"Di Vernon x pepo""";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Cream;Shallow - medium;-;Blue;-;Short - medium;Blue violet;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Arran Pilot;Trials have found good resistance to common scab.Â Â This variety has low resistance to dry rot <i> fusarium coeruleum </i>, late blight on foliage, late blight on tubers and potato virus Yo.  Tests show good resistance to common scab.;May Queen x Pepo;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Cream;White;-;Medium;-;First Early;Medium;Blue violet;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Arran Victory;Arran Victory is a tall, late maincrop variety first marketed in 1918 and bred by Donald McKelvie. It produces a moderately high yield of oval, blue-skinned tubers with white floury flesh. Susceptibility to potato cyst nematode <i> Globodera rostochiensis </i> Ro1 and potato cyst nematode <i> Globodera pallida </i> Pa 2/3,1.;Seedling of Suttons Abundance;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Blue;White;-;Smooth;-;Maincrop;Tall;White;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Arrow;Tubers have some  resistance to splitting and good  resistance to bruising.Â Â Trials have found good resistance to silver scurf.Â Â Tests demonstrated resistance to potato cyst nematode <i>Globodera rostochiensis</i> Ro1  and susceptibility to potato cyst nematode <i>Globodera pallida</i> Pa 2/3, 1, Dry rot <i> fusarium coeruleum </i> and late blight on foliage.  ;Solara x Fresco;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;White;-;-;-;-;First Early;Short;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Arsenal;;AR 92-1146 x Silvester;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Yellow;Light yellow;-;-;-;Early Maincrop;Medium - tall;White;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Asparges;Asparges susceptible to late blight on foliage and tubers.  Tests for resistance to potato cyst nematode demonstrated susceptibility to both potato cyst nematode<i>Globodera rostochiensis</i> Ro1  and potato cyst nematode <i>Globodera pallida</i> Pa 2/3, 1.;#NOM?;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Yellow;Medium yellow;-;-;-;Early Maincrop;Short - medium;Red violet;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Asterix;Asterix is a high yielding late main crop variety of long oval uniform red tubers with yellow flesh, with high dry matters and pale fry colours well suited to production of French fries and processed products.  Tests show susceptibility to late blight on foliage, powdery scab, silver scurf, potato leaf roll virus, potato virus Yo and potato cyst nematode <i> Globodera pallida</i> Pa2/3,1.  Resistance to Blackleg, Bruising, Splitting, Dry rot <i> Fusarium coeruleum </i> and potato cyst nematode <i> Globodera rostochiensis </i>Ro1.;Cardinal x SVP VE70-9;1;-;-;-;-;-;-;UNITED KINGDOM;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Red;Light yellow;-;Medium;-;Maincrop;-;Red violet;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Athlete;Athlete is a second early variety ideally suited to the fresh and punnet market.  It is suitable for organic production, requiring low inputs.  Tests for potato cyst nematode demostrated resistance to <i>Globodera rostochiensis</i> Ro1 but susceptibility to  <i>Globodera pallida</i> Pa 2/3, 1.  Athlete has resistance to blackleg, foliage late blight and tuber late blight, but is susceptible to common scab.;AR 99-263-5 x Miriam;;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Yellow;Light yellow;-;-;-;Second Early;-;Violet;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Atlantic;Suitable for processing â€“ crisps. Oval, yellow tubers with cream flesh. Moderate yields with low outgrade levels, mainly mechanical damage and greens, high dry matter.. Susceptible to splitting, bruising, late blight on foliage and tubers, potato virus Yo, potato cyst nematode <i> Globodera pallida </i> Ps2/3,1, gangrene, virus Y and spraing. Resistant to potato cyst nematode <i> Globodera rostochiensis</i> Ro1. ;Wauseon x Lenape;1;-;-;-;-;-;-;UNITED STATES;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Cream;Cream;-;Medium;-;Early Maincrop;Medium;Red violet;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Avalanche;Avalanche is a high yielding early maincrop variety, even sized tubers that set deep, with no greening. Tubers are attractive, round-oval, white skin white flesh, shallow eyes;null;null;-;-;-;-;-;-;null;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;null;null;-;null;-;null;null;null;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Avondale;Avondale has good resistant to foliage and tuber blight, common scab, potato cyst nematode <i> Globodera rostochiensis</i> Ro1.  A good potato for dishes where boiling, baking or home-prepared French fries are required.  Susceptible to powdery scab. ;Ulster Glade x A25/19;1;-;-;-;-;-;-;IRELAND;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;White;Cream;-;Medium;-;Maincrop;Tall;White;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Axona;This SÃ¡rpo variety has resistance to virus Yo, leafroll, foliage late blight, black dot and silver scurf.  There is some resistance to dry rot (<i>F. coeruleum</i>) and blackleg.  Axona is susceptible to Dry rot (<i> Fusarium Sulphureum</i>), potato cyst nematode <i> Globodera rostochiensis</i> Ro1 and potato cyst nematode <i> Globodera pallida</i> Pa2/3,1  Plants have high vigour and suppress weeds efficiently.  Tubers show long dormancy in ambient store. Tubers have a pronounced potato taste.;76 PO 12 14 268 x D187;1;-;-;-;-;-;-;UNITED KINGDOM;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Red;Cream;-;Smooth;-;Maincrop;Medium;Red violet;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Ballydoon;Ballydoon is a  early variety first marketed around 1931.  It was bred in Ayrshire by Mr John Watson.  It produces a moderate yield of oval, white-skinned tubers with a white flesh. Shows low resistance to potato cyst nematode <i> Globodera rostochiensis </i> Ro1 and potato cyst nematode <i> Globodera pallida </i> Pa2/3,1.  ;Herald x British Queen;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Cream;White;-;-;-;First Early;-;White;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Balmoral;Balmoral is a high yielding variety with low outgrade levels.  Long oval tubers, parti-coloured skin with cream flesh and distinct pink eyes.  Good resistance to common scab.  Susceptible to late blight on foliage, potato cyst nematode <i> Globodera rostochiensis</i> Ro1 and potato cyst nematode <i> Globodera pallida </i> Pa2/3,1.;Ulster Dale x OP3211/6;1;-;-;-;-;-;-;IRELAND;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Red parti-coloured;Light yellow;-;Smooth;-;Second Early;-;White;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Bambino;Tubers have poor  resistance to splitting and some  resistance to bruising.Â Â Trials have found good resistance powdery scab..Â Â This variety has low resistance to silver scurf.Â Â Tests for resistance to potato cyst nematode demonstrated resistance to  <i>Globodera rostochiensis</i> Ro1  and susceptibility to <i>Globodera pallida</i> Pa 2/3, 1.;Navan x Boxer;1;-;-;-;-;-;-;UNITED KINGDOM;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;White;Cream;-;Smooth;-;Maincrop;Medium;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Banba;Very high yielding variety.  Banba produces a high percentage of large long-oval tubers.  Resistant to potato cyst nematode <i> Globodera rostochiensis </i> Ro1 and good resistance to common scab, drought and mechanical damage. Susceptible to blackleg and potato cyst nematode <i> Globodera pallida </i> Pa2/3,1.  It shows very good storage capability.;Slaney x Estima;1;-;-;-;-;-;-;IRELAND;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Yellow;Light yellow;-;Medium;-;Early Maincrop;Medium - tall;White;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Barna;Excellent robust variety suitable for diverse cooking uses including French fries.  It has very good storage qualities and has resistance to diseases such as tuber late blight, blackleg.  Susceptible to powdery scab, potato cyst nematode <i> Globodera rostochiensis</i> Ro1 and potato cyst nematode <i> Globodera pallida </i>.;Desiree x Cara;1;-;-;-;-;-;-;IRELAND;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Red;White;-;Smooth;-;Maincrop;Tall;Red violet;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Belle De Fontenay;Belle de Fontenay is an old French salad variety from around 1885. It is a maincrop producing long, yellow-skinned tubers with light yellow flesh. Tubers are waxy with a fine taste. Susceptible to potato cyst nematodes <i> Globodera rostochiensis </i> Ro1 and <i> Globodera pallida </i> Pa2/3,1.;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Cream;Light yellow;-;Smooth;-;First Early;-;Blue violet;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Betty;Early crisping variety;Pike x Jenny;;-;-;-;-;-;-;FRANCE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Yellow;White;-;Medium;-;Second Early;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Blue Belle;Tubers have some  resistance to splitting.Â Â Trials have found good resistance to potato virus Yo.Â Â This variety has low resistance to dry rot (<i>Fusarium sulphureum</i>) and potato leafroll virus.Â Â Tests for resistance to potato cyst nematode demonstrated susceptibility to both <i>Globodera rostochiensis</i> Ro1  and <i>Globodera pallida</i> Pa 2/3, 1, blackleg, black dot and late blight on tubers.;Sylvia x Cara;1;-;-;-;-;-;-;FRANCE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Blue parti-coloured;Medium yellow;-;Smooth;-;Maincrop;Medium - tall;Blue violet;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Blue Danube;Tubers have some  resistance to bruising and splitting.Â Â Trials have found good resistance to blackleg, skin spot, potato virus Yo , dry rot (<i>Fusarium coeruleum</i>) and potato leafroll virus.Â Â This variety has low resistance to dry rot caused by <i> Fusarium sulphureum</i>.Â Â Tests for resistance to potato cyst nematode demonstrated resistance to  <i>Globodera rostochiensis</i> Ro1  and susceptibility to <i>Globodera pallida</i> Pa 2/3, 1. Susceptible to silver scurf and common scab.;78.139.25 x VK.69.491 ;1;-;-;-;-;-;-;UNITED KINGDOM;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Blue;White;-;Medium;-;Maincrop;Tall;Violet;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Bonnata KWS;Bonnata is for the table market, has very excellent skin finish and taste. Produces a high tuber number with even tuber shape.;null;null;-;-;-;-;-;-;null;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;null;null;-;null;-;null;null;null;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
;"Bemadette x RZ 95-6643""";;Stet Holland;-;-;-;-;-;-;;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Cream;Shallow;-;-;-;Medium;-;Few;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Bonnie;Early production of bold even sized tubers.  Bright skin finish with red splash.  Suitable for pre-pack and export markets.  Bakes well with good taste-test results.  Good resistance to silver scurf, skin spot, blackleg and potato cyst nematode <i> Globodera rostochiensis</i> Ro1.  Good dormancy.  Susceptible to tuber late blight, powdery scab, potato cyst nematode <i> Globodera pallida </i> Pa2/3,1, potato virus Yo and spliiting.;Estima x 83N28-47;1;-;-;-;-;-;-;UNITED KINGDOM;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Red parti-coloured;Cream;-;Smooth;-;Second Early;Medium;White;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Bounty;Tubers have good  resistance to black dot, dry rot (<i>Fusarium coeruleum</i>), bruising and splitting.Â Â Trials have found good resistance to potato virus Yo.Â Â Tests for resistance to potato cyst nematode demonstrated resistance to  <i>Globodera rostochiensis</i> Ro1  and susceptibility to <i>Globodera pallida</i> Pa 2/3, 1. Susceptible to Dry rot <i> Fusarium sulphureum</i> and potato leafroll virus.;85G040-080 x Valor ;1;-;-;-;-;-;-;UNITED KINGDOM;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;White;Cream;-;Smooth;-;Early Maincrop;Medium;Red violet;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Bremner;Tubers have good resistance to splitting and some resistance to bruising.Â Â Trials have found good resistance to dry rot (<i>F. coeruleum</i>).Â This variety has low resistance to dry rot (<i>F. sulphureum</i>).Â Tests for resistance to potato cyst nematode demonstrated susceptibility to both <i>Globodera rostochiensis</i> Ro1  and <i>Globodera pallida</i> Pa 2/3, 1.;Remarka x Mondial;1;-;-;-;-;-;-;UNITED KINGDOM;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;White;White;-;-;-;Early Maincrop;Medium;White;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
